huber_id,country,name_english,name,name_short,country_short,dummy_nir
3706,SWEDEN,Christian Democrat,Kristdemokratiska Samhallspartiet,KDS,SWE,0
3707,SWEDEN,Conservative Party,Moderata Samlingspartiet,MSP,SWE,0
3708,SWEDEN,New Democracy,Ny Demokrati,NYD,SWE,0
3801,SWITZERLAND,Social Democratic Party,Parti Socialiste Suisse,PSS,CHE,0
3802,SWITZERLAND,Christian Democratic Party,Parti Democrate-Chretien,PDC,CHE,0
3803,SWITZERLAND,Radical Democratic Party,Parti Radical Suisse,PRD,CHE,0
3804,SWITZERLAND,Swiss People's Party,Union Democratique du Centre,UDC,CHE,0
3805,SWITZERLAND,Liberal Party,Parti Liberal Suisse,PL,CHE,0
3806,SWITZERLAND,Swiss Motorists,Parti des Automobiliste,PA,CHE,0
3901,TAIWAN,Democratic Progressive Party,Minjin Dang,DDP,TWN,0
3902,TAIWAN,Social Democratic Party,Shemin Dang,SDP,TWN,0
3903,TAIWAN,Nationalist Party,Kuomintang,KMT,TWN,0
4001,TURKEY,Socialist Party,Turkiye Sosyalist Partisi,TSP,TUR,0
4002,TURKEY,People's Labour Party,Halk Emekci Partisi,HEP,TUR,0
4003,TURKEY,Social Democrat Populist Party,Sosyal Democrasi Halkci Partisi,SHP,TUR,0
4004,TURKEY,People's Republican Party,Cumhuriyet Halk Partisi,CHP,TUR,0
4005,TURKEY,Democratic Left Party,Demokratik Sol Parti,DSP,TUR,0
4006,TURKEY,True Path,Dogru Yol Partisi,DYP,TUR,0
4007,TURKEY,Motherland Party,Anavatan Partisi,ANAP,TUR,0
4008,TURKEY,Welfare Party,Refah Partisi,RP,TUR,0
4009,TURKEY,Nationalist Action Party,Milliyetci Hareket Partisi,MHP,TUR,0
4101,UKRAINE,Ukrainian Communist Party,,CPU,UKR,0
4102,UKRAINE,Social Democratic Party,,SDPU,UKR,0
4103,UKRAINE,Party of Democratic Restoration,,PDRU,UKR,0
4104,UKRAINE,Greens,,GPU,UKR,0
4105,UKRAINE,`Ruh' Party,,RP,UKR,0
4106,UKRAINE,Liberal Democratic Party,,LDPU,UKR,0
4107,UKRAINE,Socialist Party,,SPU,UKR,0
4108,UKRAINE,Democratic Party,,DPU,UKR,0
4109,UKRAINE,Responsibility Party,,-,UKR,0
4110,UKRAINE,Conservative Republican Party,,UCRP,UKR,0
4111,UKRAINE,Christian Democratic Party,,CDPU,UKR,0
4112,UKRAINE,Ukrainian National Assembly,,UNSO,UKR,0
4113,UKRAINE,Communist Party of Bolshevics,,BCP,UKR,0
4201,USA,Democratic Party,Democratic Party,D,USA,0
4202,USA,Republican Party,Republican Party,R,USA,0
