countrycode,party_abbr,party_id,year_first,year_last,seat_share,year
SVN,LS,290018,2011,2011,9.9,2011
HRV,Most,300015,2015,2020,9.9,2015
GBR,Lib,170007,1945,2019,9.8,2005
SVK,Others/Indep.,280099,2002,2020,9.8,2016
BGR,PA,180002,2005,2014,9.6,2013
BGR,RB,180021,2014,2014,9.6,2014
POL,PC,260015,1991,1993,9.6,1991
DNK,M,30020,2022,2022,9.5,2022
FIN,TPSL,40002,1954,1966,9.5,1954
FIN,SIN,40006,2015,2015,9.5,2015
ISL,WA,80004,1983,1995,9.5,1987
ISL,BF,80017,2013,2016,9.5,2013
ISL,PeP,80021,2017,2021,9.5,2021
HUN,EKGP,220005,1990,1994,9.4,1990
GRC,SYN,70007,1989,2000,9.3,1989
NLD,GL,120004,1989,2021,9.3,2017
HUN,KDNP,220001,1990,2022,9.3,2010
HRV,HNS,300009,1992,2020,9.3,2011
LTU,LVZS,240001,2000,2012,9.2,2004
NLD,CHU,120014,1946,1972,9,1948
CZE,SPR- RSČ,200005,1992,2010,9,1996
LVA,LPV,230041,2022,2022,9,2022
ITA,MSI,100023,1946,1992,8.9,1972
EST,EML,210010,1992,1995,8.9,1995
EST,EME,210003,1995,1999,8.9,1995
POL,UP,260003,1991,2001,8.9,1993
BGR,OP,180020,2017,2017,8.8,2017
ROU,PUNR,270010,1990,2004,8.8,1992
GRC,KKE,70001,1977,2023,8.7,2012
POL,RP,260018,2011,2011,8.7,2011
SVK,ZRS,280002,1994,1994,8.7,1994
SVK,SOP,280006,1998,1998,8.7,1998
GBR,SNP,170003,1970,2019,8.6,2015
HUN,Kisgazdák,220004,1990,1990,8.6,1990
IRL,GR,90012,2002,2020,8.5,2020
LUX,SDP,110006,1974,1979,8.5,1974
LTU,LSDDP,240018,2016,2020,8.5,2016
DNK,CD,30010,1973,1998,8.4,1981
IRL,PD,90010,1987,2007,8.4,1987
DNK,LA,30017,2007,2022,8.3,2022
DNK,DD,30021,2022,2022,8.3,2022
GRC,SPAD,70004,2015,2015,8.3,2015
ISL,ULL,80006,1971,1974,8.3,1971
PRT,BE,140002,1999,2022,8.3,2015
POL,LPR,260002,2001,2011,8.3,2001
SVK,KSS,280001,2002,2002,8.3,2002
AUT,NEOS,10010,2013,2019,8.2,2019
FRA,R,50006,1958,2022,8.1,1962
IRL,CnT,90007,1944,1961,8,1944
CZE,LSU,200003,1992,1992,8,1992
LVA,TPA,230011,1993,1995,8,1993
LVA,LVP,230004,1993,1998,8,1995
LVA,LNNK+LZP,230026,1995,1995,8,1995
LVA,JP,230030,1998,1998,8,1998
LVA,PLL,230033,2010,2010,8,2010
LVA,LRA,230035,2014,2014,8,2014
POL,KLD,260022,1991,1991,8,1991
SVK,ZL,280021,2020,2020,8,2020
DNK,RF,30008,1945,1979,7.9,1950
BGR,PF,180017,2014,2014,7.9,2014
EST,ERP,210014,1992,1995,7.9,1992
EST,Others/Indep.,210099,1992,2019,7.9,1995
EST,EVA,210023,2015,2015,7.9,2015
ROU,UDMR,270017,1990,2020,7.9,1992
SVK,HLAS-SD,280022,2020,2020,7.9,2020
DNK,EL,30003,1994,2022,7.8,2015
LTU,PDP,240006,2004,2008,7.8,2004
SVN,DeSUS,290003,1996,2018,7.8,2008
LTU,LP,240019,2020,2020,7.7,2020
HUN,DK,220006,2014,2022,7.6,2022
FIN,RKP,40010,1945,2023,7.5,1951
BGR,NS,180010,1994,2001,7.5,1994
SVN,DSS,290008,1992,1992,7.4,1992
NOR,NKP-RV,130001,1945,1993,7.3,1945
HUN,Others/Indep.,220099,1990,2022,7.3,1990
HRV,DP,300023,2020,2020,7.3,2020
SWE,NyD,160008,1991,1991,7.2,1991
SWE,MP,160002,1988,2022,7.2,2010
POL,SDPL,260008,2001,2007,7.2,2001
BGR,DSB,180016,2005,2013,7.1,2005
GRC,XA,70022,2012,2015,7,2012
