"id","country_short","country","party_short","party_english","party_name","name","year_first","year_last","comment","ess_round_1","ess_round_2","ess_round_3","ess_round_4","ess_round_5","ess_round_6"
1173,"DEU","Germany","NPD/DVU","National Democratic Party / German People's Union","","npd",2004,2012,"","","National Democratic Party/German People's Union (NPD/DVU)","National Democratic Party/German People's Union (NPD/DVU)","National Democratic Party/German People's Union (NPD/DVU)","NPD","NPD"
1084,"DEU","Germany","PDS","Party of Democratic Socialism","","party of democratic socialism pds",2002,2004,"","PDS","Party of Democratic Socialism (PDS)","","","",""
1313,"DEU","Germany","","","Piratenpartei","piratenpartei",2012,2012,"","","","","","","Piratenpartei"
1511,"DEU","Germany","SPD","Social Democratic Party","","spd",2002,2012,"","SPD","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Social Democratic Party (SPD)","SPD","SPD"
1004,"DNK","Denmark","Andet","Other","Andet","andet other",2002,2012,"","Other","Other","Other","Andet – other","Andet - other","Andet - other"
1609,"DNK","Denmark","","","Centrum-Demokraterne","centrum demokraterne",2002,2006,"","Centrum-Demokraterne","Centrum-Demokraterne","Centrum-Demokraterne","","",""
1219,"DNK","Denmark","","Danish peoples party","Dansk Folkeparti","dansk folkeparti danish peoples party",2002,2012,"","Dansk Folkeparti","Dansk Folkeparti","Dansk Folkeparti","Dansk Folkeparti - Danish peoples party","Dansk Folkeparti - Danish peoples party","Dansk Folkeparti - Danish peoples party"
1755,"DNK","Denmark","","Conservative","Det Konservative Folkeparti","det konservative folkeparti conservative",2002,2012,"","Det Konservative Folkeparti","Det Konservative Folkeparti","Det Konservative Folkeparti","Det Konservative Folkeparti - Conservative","Det Konservative Folkeparti - Conservative","Det Konservative Folkeparti - Conservative"
1289,"DNK","Denmark","","Danish Social-Liberal Party","Det Radikale Venstre","det radikale venstre danish social liberal party",2002,2012,"","Det Radikale Venstre","Det Radikale Venstre","Det Radikale Venstre","Det Radikale Venstre - Danish Social-Liberal Party","Det Radikale Venstre - Danish Social-Liberal Party","Det Radikale Venstre - Danish Social-Liberal Party"
1324,"DNK","Denmark","","Unity List - The Red-Green Alliance","Enhedslisten","enhedslisten unity list the red green alliance",2002,2012,"","Enhedslisten","Enhedslisten","Enhedslisten","Enhedslisten, De Rød-Grønne - The Red-Green Alliance","Enhedslisten, De Rød-Grønne - The Red-Green Alliance","Enhedslisten - Unity List - The Red-Green Alliance"
1804,"DNK","Denmark","","","Fremskridtspartiet","fremskridtspartiet",2002,2006,"","Fremskridtspartiet","Fremskridtspartiet","Fremskridtspartiet","","",""
1359,"DNK","Denmark","","Christian democtrats","Kristeligt Folkeparti/Kristendemokraterne","kristendemokraterne christian democtrats",2002,2012,"","Kristeligt Folkeparti","Kristeligt Folkeparti","Kristendemokraterne","Kristendemokraterne - Christian democtrats","Kristendemokraterne - Christian democtrats","Kristendemokraterne - Christian democtrats"
