"country","name_short","name","name_english","year_first","year_last","party_id","partyfacts_id"
"ESP","ERC","Esquerra Republicana de Catalunya","Republican Left of Catalonia",1931,,"724013",848
"ESP","BNG","Bloque Nacionalista Galego","Galician Nationalist Bloc",1982,,"724014",1011
"ESP","PSUC","Partit Socialista Unificat de Catalunya","Unified Socialist Party of Catalonia",1977,,"724015",
"ESP","UDC","Unió Democràtica de Catalunya","Democratic Union of Catalonia",1931,,"724016",4019
"SWE","VK","Vänsterpartiet Kommunisterna","Left Party-Communists",1917,,"752001",830
"SWE","S","Sveriges Socialdemokratiska Arbetarparti","Social Democratic Workers' Party of Sweden",1889,,"752002",487
"SWE","MP","Miljöpartiet de Gröna","The Green Party",1981,,"752003",456
"SWE","C","Centerpartiet","Centre Party",1913,,"752004",199
"SWE","KDS","Kristen Demokratisk Samling","Christian Democrats",1964,,"752005",651
"SWE","FP","Folkpartiet","Liberal People's Party",1934,,"752006",1274
"SWE","NyD","Ny Demokrati","New Democracy",1991,2000,"752007",343
"SWE","M","Moderata Samlingspartiet","The Moderate Party",1904,,"752008",690
"SWE","SD","Sverigedemokraterna","Sweden Democrats",1988,,"752009",409
"CHE","FDP-PRD","Freisinnig-Demokratische Partei der Schweiz  Parti Ra","Radical Democratic Party",1894,,"756001",
"CHE","CVP-PDC","Christlichdemokratische Volkspartei","Christian Democratic People's Party",1912,,"756002",1808
"CHE","SP-PS","Sozialdemokratische Partei der Schweiz","Social Democratic Party",1888,,"756003",29
"CHE","SVP-UDC","Schweizerische Volkspartei","Swiss People's Party",1971,,"756004",308
"CHE","GPL-PVL","Grüne Partei der Schweiz","Green Party",1983,,"756005",1759
"CHE","LPS","Liberale Partei der Schweiz","Liberal Party",1913,2009,"756006",444
"CHE","LdU-ADI","Landesring der Unabhängigen","Ring of Independents",1936,1999,"756007",1194
"CHE","EVP-PEP","Evangelische Volkspartei","Evangelical People's Party",1919,,"756008",1123
"CHE","FPS","Schweizer Autopartei","Swiss Automobile Party",1984,,"756009",1311
"CHE","NA-AN","Nationale Aktion gegen die Überfremdung von Volk und H","National Action against Foreign Domination",1961,,"756010",1819
"CHE","EDU-UDF","Eidgenössisch-Demokratische Union","Federal Democratic Union",1975,,"756011",631
"CHE","PdA","Partei der Arbeit Schweiz","Swiss Party of Labour",1944,,"756012",669
"CHE","RB","Republikanische Bewegung","Republican Movement",1971,1989,"756013",1646
"CHE","POCH","Progressive Organisationen Schweiz","Progressive Organizations of Switzerland",1969,1993,"756014",121
"CHE","PSA","Partito socialista autonomo","Autonomous Socialist Party",1970,1988,"756015",31
"BRA","PDS/PP","Partido Progressista","Progressive Party",1980,,"76001",
"BRA","PDT","Partido Democrático Trabalhista","Democratic Labour PartY",1980,,"76002",
"BRA","PFL/DEM","Democratas","Democrats",1985,,"76003",
"BRA","PL/PR","Partido da República","Party of the Republic",1985,,"76004",
"BRA","PMDB","Partido do Movimento Democrático Brasileiro","Party of the Brazilian Democratic Movement",1980,,"76005",
"BRA","PSDB","Partido da Social-Democracia Brasileira","Party of Brazilian Social Democracy",1988,,"76006",
"BRA","PSB","Partido Socialista Brasileiro","Brazilian Socialist Party",1985,,"76007",
"BRA","PT","Partido dos Trabalhadores","Workers' Party",1980,,"76008",
"BRA","PTB","Partido Trabalhista Brasileiro","Brazilian Labour Party",1980,,"76009",
"GBR","CON","Conservative Party","Conservative Party",1834,,"826001",1567
"GBR","LAB","Labour Party","Labour Party",1900,,"826002",1516
"GBR","LP","Liberal Party","Liberal Party",1859,,"826003",
"GBR","P","People","People",1973,,"826004",1794
"GBR","SGP","Scottish Green Party","Scottish Green Party",1990,,"826005",
"GBR","SNP","Scottish National Party","Scottish National Party",1934,,"826006",986
"GBR","PC","Plaid Cymru","Plaid Cymru",1925,,"826007",1002
"GBR","UKIP","UK Independence Party","UK Independence Party",1993,,"826008",601
"GBR","BNP","New National Front","New National Front",1980,,"826009",855
