"country","party_id","party_abbrev","party_name","party_name_english"
"BUL",2010,"GERB","Grazhdani za evropeysko razvitie na Balgariya","Citizens for European Development of Bulgaria"
"BUL",2011,"L","Lider","Lider"
"BUL",2012,"RZS","Red, zakonnost i spravedlivost","Order, Lawfullness, Justice"
"BUL",2013,"DBG","Dvizhenie Bulgaria na grazhdanite","Bulgaria for Citizens Movement"
"BUL",2014,"NFSB","Natsionalen Front za Spasenie na Bulgaria","National Front for the Salvation of Bulgaria"
"BUL",2015,"BBT","Bulgaria bez Tsenzura","Bulgaria without Censorship"
"BUL",2016,"ABV","Alternativa za Balgarsko Vazrazhdane","Alternative for Bulgarian Revival"
"CZ",2101,"CSSD","Česká strana sociálne demokratická","Czech Social Democratic Party"
"CZ",2102,"ODS","Obcanská Demokratická Strana","Civic Democratic Party"
"CZ",2103,"KSCM","Komunistická strana Cech a Moravy","Communist Party of Bohemia and Moravia"
"CZ",2104,"KDU-CSL","Kesťanská demokratická unie—Československá strana lidová","Christian Democratic Union—Czechoslovak People’s Party"
"CZ",2105,"US-DEU","Unie Svobody—Demokratická unie","Freedom Union—Democratic Union"
"CZ",2106,"SNK-ED","Sdružení nezávislých kandidátu—Evropští demokraté","Union of Independents—European Democrats"
"CZ",2107,"SZ","Strana zelených","Green Party"
"CZ",2108,"Nezavisli","Nezávislí","Independents"
"CZ",2109,"TOP09","Top09","Top09"
"CZ",2110,"VV","Vĕci Veejné","Public Aﬀairs"
"CZ",2111,"ANO2011","ANO 2011, Akce nespokojených obanů","ANO 2011, Action of Dissatisﬁed Citizens"
"CZ",2112,"USVIT","Úsvit pímé demokracie","Dawn of Direct Democracy"
"CZ",2113,"SVOBODNI","Strana svobodných obanů","Party of Free Citizens"
"EST",2201,"IRL","Erakond Isamaa ja Res Publica Liit","Pro Patria and Res Publica Union"
"EST",2202,"EK","Eesti Keskerakond","Estonian Center Party"
"EST",2203,"ER","Eesti Reformierakond","Estonian Reform Party"
"EST",2204,"SDE","Sotsiaaldemokraatlik Erakond","Social Democratic Party"
"EST",2205,"KP","Eestimaa ühendatud Rahvapartei","Constitution Party"
"EST",2206,"ERL","Eestimaa Rahvaliit","Estonian People’s Union"
"EST",2207,"EER","Erakond Eestimaa Rohelised","Estonian Greens"
"EST",2208,"EVE","Eesti Vabaerakond","Estonian Free Party"
"HUN",2301,"MSzP","Magyar Szocialista Párt","Hungarian Socialist Party"
"HUN",2302,"Fidesz-M","Fidesz—Magyar Polgári Szövetség","Fidesz—Hungarian Civic Union"
"HUN",2303,"MDF","Magyar Demokrata Fórum","Hungarian Democratic Forum"
"HUN",2304,"SzDSz","Szabad Demokraták Szövetsége","Alliance of Free Democrats"
"HUN",2305,"MIEP","Magyar Igazság és élet Pártja","Hungarian Justice and Life Party"
"HUN",2306,"CP","Centrumpárt","Centre Party"
"HUN",2307,"KDNP","Kereszténydemokrata Néppárt","Christian Democratic People’s Party"
"HUN",2308,"JOBBIK","Jobbik Magyarorszagert Mozgalom","Movement for a Better Hungary"
"HUN",2309,"LMP","Lehet Más a Politika","Politics Can Be Diﬀerent"
"HUN",2310,"E14","Együtt 2014","Together 2014"
"HUN",2311,"DK","Demokratikus Koalíció","Democratic Coalition"
"LAT",2401,"JL","Jaunais Laikas","New Era Party"
"LAT",2402,"PCTVL; LKS","Par Cilveka Tiesibam Vienota Latvija; Latvijas Krievu savieniba","For Human Rights in United Latvia; Latvian Russian Union"
"LAT",2403,"TP","Tautas Partija","People’s Party"
"LAT",2404,"LPP","Latvijas Pirma Partija","Lativa’s First Party"
"LAT",2405,"ZZS","Zaļo un Zemnieku Savieniba","Union of Greens and Farmers"
"LAT",2406,"TB-LNNK; NA","Nacionala apvieniba “Visu Latvijai!”; “Tevzemei un Brivibai / LNNK”","National Alliance “All For Latvia!”; “For Fatherland and Freedom / LNNK”"
"LAT",2407,"LC","Latvijas Celš","Latvia’s Way"
"LAT",2408,"LSDSP","Latvijas Socialdemokratiska Stradnieku Partija","Latvian Social Democratic Labour Party"
"LAT",2410,"SC; SDPS","Saskanas Centrs; Socialdemokratiska Partija “Saskaņa""","Harmony Centre; Social Democratic Party “Harmony”"
"LAT",2411,"ZRP","Zatlera Reform Partija","Zatler’s Reform Party"
"LAT",2412,"V","Vienotiba","Unity"
"LAT",2413,"NSL","No sirds Latvijai","For Latvia from the Heart"
"LAT",2414,"LRA","Latvijas Reǵionu apvieniba","Latvian Association of Regions"
"LITH",2501,"LSDP","Lietuvos socialdemokrat partija","Social Democratic Party of Lithuania"
"LITH",2502,"NDP","Naujosios demokratijos partija","New Democratic Party"
"LITH",2503,"LRS","Lietuvos rus sąjunga","Lithuanian Russian Union"
"LITH",2504,"NS","Naujoji sąjunga (socialliberalai)","New Union (Social Liberals)"
