statename,affiliation,first,last
Lebanon,FM,2007,2008
Lebanon,KPL,1964,1988
Lebanon,LF,1970,1976
Lebanon,Mil,1952,1989
Lebanon,Non-party,1976,2008
Lebanon,SNF,1952,1958
Lebanon,unknown,1989,1998
Lesotho,BCP,1993,1997
Lesotho,BNP,1966,1986
Lesotho,Koena dynasty,1994,1994
Lesotho,LCD,1998,2008
Lesotho,Mil,1986,1993
Liberia,LAP,2003,2006
Liberia,LPP,1990,1994
Liberia,Mil,1980,1984
Liberia,NDP,1985,1997
Liberia,Non-party,1994,1997
Liberia,NPP,1997,2003
Liberia,TWP,1920,1980
Liberia,UP,2006,2008
Libya,Non-party,1969,2008
Libya,Senussi dynasty,1951,1969
Lithuania,LDDP,1992,1998
Lithuania,LKDP,1920,1926
Lithuania,LLP,2003,2004
Lithuania,LTS,1926,1940
Lithuania,LVLS,1926,1926
Lithuania,Non-party,1998,2008
Lithuania,NS,2004,2004
Lithuania,Sajudis,1991,1992
Lithuania,Unknown,1919,1920
Macedonia, DPA,2002,2002
Macedonia,DA,1998,2000
Macedonia,DPA,1998,2008
Macedonia,LDP,2001,2001
Macedonia,LP,1993,1996
Macedonia,NSDP,2006,2008
Macedonia,PDP,1993,2002
Macedonia,SDSM,1993,1998
Macedonia,SPM,1993,1998
Macedonia,VMRO,1998,2002
Macedonia,VMRO-DPMNE,2006,2008
Macedonia,ZMZ,2002,2006
Madagascar,AREMA,1975,2002
Madagascar,AVI,1996,1997
Madagascar,FNDR,1975,1993
Madagascar,Mil,1972,1975
Madagascar,PSD,1960,1972
Madagascar,TIM,2002,2008
Madagascar,UNDD,1993,1996
Malawi,DPP,2006,2008
Malawi,MCP,1964,1994
Malawi,UDF,1994,2005
Malaysia,UMNO,1957,2008
Mali,ADM,1992,2002
Mali,CCD,2002,2008
Mali,Mil,1968,1992
Mali,UDPM,1977,1991
Mali,US-RDA,1960,1968
Mauritania,Mil,1978,2008
Mauritania,Non-party,2007,2008
Mauritania,PPM,1962,1978
Mauritania,PRDS,1993,2005
Mauritania,PRM,1960,1961
Mauritius, PTr,1990,1990
Mauritius,MMM,1982,2005
Mauritius,MMSM,2005,2008
Mauritius,MR,2005,2008
Mauritius,MSM,1984,2005
Mauritius,MTD,1992,1995
Mauritius,OPR,1988,2000
Mauritius,PMDS(Jugnauth),1995,1995
Mauritius,PMSD,1977,1988
Mauritius,PMXD,2000,2008
Mauritius,PSM,1982,1983
Mauritius,PTr,1968,2008
Mauritius,PTR,1984,1984
Mauritius,RMM,1994,1995
Mauritius,RTM,1985,1987
Mauritius,Verts,2005,2008
Mexico,L-Mod,1919,1920
Mexico,PAN,2000,2008
Mexico,PLC,1920,1924
Mexico,PNA,1920,1920
Mexico,PNR,1924,1938
Mexico,PRI,1946,2000
Mexico,PRM,1939,1946
Moldova,ADP,1994,1995
Moldova,Non-party,1991,2001
Moldova,PCRM,2001,2008
Moldova,PRH,1996,1997
